spot,pattern,level,work,players,hands,pct_hands,flop_hands,preflop_hands,pct_sees_flop,avg_pot_bb
"HJ open, SB call, BB 3bet","open, call, 3bet",3bet,preflop only,3,2367,0.0260,1,2366,0.04,6.57
"UTG open, SB 3bet, UTG 4bet","open, 3bet, 4bet",4bet,preflop only,2,2337,0.0257,0,2337,0.00,19.28
"HJ open, CO call, SB call, BB call","open, call, call, call",SRP,postflop,4,2306,0.0254,2306,0,100.00,33.28
"HJ open, BU call, BB 3bet","open, call, 3bet",3bet,preflop only,3,2303,0.0253,0,2303,0.00,7.02
"UTG open, CO call, BU call, BB call","open, call, call, call",SRP,postflop,4,2299,0.0253,2299,0,100.00,34.22
"HJ open, CO call, BU call, BB call","open, call, call, call",SRP,postflop,4,2246,0.0247,2246,0,100.00,33.58
"UTG open, SB 3bet, UTG 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,2,2229,0.0245,2056,173,92.24,106.03
"UTG limp, BB iso, UTG call","limp, iso, call",SRP,postflop,2,2190,0.0241,2187,3,99.86,23.76
"BU limp, BB iso, BU call","limp, iso, call",SRP,postflop,2,2187,0.0240,2183,4,99.82,24.57
"CO open, BU 3bet, BB call","open, 3bet, call",3bet,postflop,3,2141,0.0235,2134,7,99.67,42.64
"BU open, SB call, BB 3bet, SB call","open, call, 3bet, call",3bet,postflop,3,2136,0.0235,2125,11,99.49,56.60
"CO open, BB 3bet, CO 4bet, BB call","open, 3bet, 4bet, call",4bet,mixed,2,2105,0.0231,1974,131,93.78,104.87
"UTG open, CO call, BU 3bet","open, call, 3bet",3bet,preflop only,3,2095,0.0230,2,2093,0.10,8.06
"CO open, BU 3bet, BB call, CO call","open, 3bet, call, call",3bet,postflop,3,2062,0.0227,2062,0,100.00,59.52
"HJ open, CO call, SB 3bet","open, call, 3bet",3bet,preflop only,3,2021,0.0222,1,2020,0.05,7.75
"UTG open, HJ call, SB call, BB call","open, call, call, call",SRP,postflop,4,2006,0.0221,2006,0,100.00,34.41
"UTG open, SB call, BB 3bet","open, call, 3bet",3bet,preflop only,3,1991,0.0219,1,1990,0.05,6.58
"UTG open, HJ call, BU call, BB call","open, call, call, call",SRP,postflop,4,1963,0.0216,1963,0,100.00,32.92
"HJ open, CO 3bet, BB call, HJ call","open, 3bet, call, call",3bet,postflop,3,1950,0.0214,1950,0,100.00,58.23
"UTG open, BU call, BB 3bet","open, call, 3bet",3bet,preflop only,3,1934,0.0213,0,1934,0.00,7.04
"CO open, BB 3bet, CO 4bet","open, 3bet, 4bet",4bet,preflop only,2,1930,0.0212,0,1930,0.00,19.29
"CO open, BU call, SB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,1894,0.0208,1887,7,99.63,65.85
"CO limp, BB iso, CO call","limp, iso, call",SRP,postflop,2,1892,0.0208,1886,6,99.68,24.05
"HJ open, CO 3bet, BU 4bet","open, 3bet, 4bet",4bet,mixed,3,1851,0.0204,20,1831,1.08,18.48
"HJ limp, BB iso, HJ call","limp, iso, call",SRP,postflop,2,1839,0.0202,1831,8,99.56,24.20
"UTG open, CO 3bet, BB call, UTG call","open, 3bet, call, call",3bet,postflop,3,1819,0.0200,1819,0,100.00,54.91
"HJ open, BB 3bet, HJ 4bet, BB call","open, 3bet, 4bet, call",4bet,mixed,2,1798,0.0198,1706,92,94.88,104.17
"UTG open, HJ 3bet, BB call, UTG call","open, 3bet, call, call",3bet,postflop,3,1797,0.0198,1797,0,100.00,58.99
